pickup_zone,holiday_date,trip_lift_pct,fpm_lift_pct
22,2024-11-28,20.08978596548103,-16.709797851974308
22,2024-12-25,18.17129873135428,-16.27838322128075
22,2024-12-31,41.650238564612444,-3.276311864566095
22,2025-01-01,16.404031053417775,-16.422395531847982
22,2025-01-20,13.29424787831577,-8.416352860051266
22,2025-02-17,13.107293673896109,-11.150730240822757
22,2025-03-17,13.668156287155098,4.1214732385814825
22,2025-05-26,-13.253249149276373,-9.951234338995166
22,2025-06-19,5.232111520652885,-1.4725419567752818
22,2025-06-29,25.537993331493396,2.50781225203706
22,2025-07-04,-9.524432402130241,-10.711282412113695
23,2024-01-01,-47.633121105162715,-6.774185503887942
23,2024-01-15,-35.95325350852009,-9.800615427893792
23,2024-02-19,-25.685238038944146,-11.416994255157078
23,2024-05-27,-38.00685660243527,-8.40154290630486
23,2024-06-19,-19.876410227337153,-5.784365821554998
23,2024-07-04,-37.09503782278554,-8.143187446547822
23,2024-09-02,-33.7713002212352,-6.656000571631542
23,2024-10-14,-19.524428757198585,0.4904105646369273
23,2024-10-31,21.40181147458624,-7.688651385285808
23,2024-11-03,10.045997065704432,5.672204572848895
23,2024-11-11,-10.924965801428737,-5.547595753966659
23,2024-11-28,-22.321902766015477,-9.51718481497465
23,2024-12-25,-49.52094789954079,-14.24978471072291
23,2024-12-31,12.003527855357932,-3.208062153407134
23,2025-01-01,-25.71007426724871,-6.208276158369397
23,2025-01-20,-12.721868508604528,-10.894408117077106
23,2025-02-17,-13.106919088713626,-8.809667923839086
23,2025-03-17,15.643524226099,4.202365637633379
23,2025-05-26,-26.583689392532044,-7.252734682326125
23,2025-06-19,-5.642556734178311,0.21587093622009
23,2025-06-29,8.192236012530238,2.772946909154199
23,2025-07-04,-23.141938701989687,-4.2544793644452215
24,2024-01-01,0.24837830668691285,-3.9866695725766275
24,2024-01-15,2.2643420386312565,-14.056984204945502
24,2024-02-19,18.20878246400925,-15.079043534948013
24,2024-05-27,0.981456027393947,-13.494845075697032
24,2024-06-19,-4.080991994977249,-10.319606810206219
24,2024-07-04,-15.692044807290683,-12.59245043469953
24,2024-09-02,-3.6002797270250158,-7.599598484640276
24,2024-10-14,3.913766910222084,-1.8834504597386732
24,2024-10-31,22.758686159103846,-5.684518078463514
24,2024-11-03,7.872727272727281,8.425220481146193
24,2024-11-11,-8.915093202151013,-3.381278385491493
24,2024-11-28,16.29770267704575,-11.217983072584664
24,2024-12-25,-17.430544655470108,-20.316094766457223
24,2024-12-31,30.89828946020691,-0.24070333285856638
24,2025-01-01,11.74070004708836,-11.761016611589465
24,2025-01-20,19.12512961489304,-12.32398651489386
24,2025-02-17,10.51146639658539,-10.975455915891825
24,2025-03-17,-6.8991294702066694,2.7787923762158244
24,2025-05-26,-29.07473052159445,-10.59423940395433
24,2025-06-19,-11.910005695842042,0.17958842041252437
24,2025-06-29,-16.85454545454545,2.784790733269889
24,2025-07-04,-40.97382251032013,-13.9924737701039
25,2024-01-01,29.57456088180485,11.741934882904006
25,2024-01-15,9.385036279291072,-9.033078197208365
25,2024-02-19,18.475344620223893,-14.516871519492705
25,2024-05-27,4.81477075981656,-11.155224582827513
25,2024-06-19,6.6595864309364625,-9.638079907873271
25,2024-07-04,-18.41231378973753,-12.736925710331311
25,2024-09-02,14.809087665041043,-9.960611492025816
25,2024-10-14,3.157421725281847,-5.268874726356
25,2024-10-31,16.681790757790537,-6.383514204722969
25,2024-11-03,-1.5145854063344417,-0.7121583524815913
25,2024-11-11,-5.028878051359312,-3.2150167429933476
25,2024-11-28,-4.570091578415555,-14.612780719025745
25,2024-12-25,-38.99543949522084,-20.24958030280833
25,2024-12-31,32.98993363983583,5.019783582763834
25,2025-01-01,26.732054726057346,1.6696198758380476
25,2025-01-20,10.037931353501717,-9.833066999098838
25,2025-02-17,40.17155016322377,-10.750387544150234
25,2025-03-17,-6.585781689861618,5.610308202628428
25,2025-05-26,11.645057690020225,-4.859087204065795
25,2025-06-19,-1.9237843909569428,3.309885187537066
